ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
833	Chaninawa	belly	barriga	pusto	pusto	p u s t o		1553		
834	Sharanawa	belly	barriga	namɨn	namɨn	n a m ɨ n		62		
835	Amawaka	belly	barriga	puku	puku	p u k u		54		
836	Nawa	belly	barriga	atu	atu	a t u		1554		
837	Marinawa	belly	barriga	pustu	pustu	p u s t u		1553		
838	Yaminawa	belly	barriga	pustu	pustu	p u s t u		1553		
839	Kashinawa_P	belly	barriga	pustu	pustu	p u s t u		1553		
840	Kashinawa_B	belly	barriga	pustu	pustu	p u s t u		1553		
841	Araona	belly	barriga	ese	ese	e s e		56		
842	Tacana	belly	barriga	edhe	edhe	e d́ʱ e		56		
843	Cavinena	belly	barriga	ekarekani	ekarekani	e k a r e k a n i		57		
844	Ese_ejja	belly	barriga	emajjii	emajjii	e m a dʒː iː		59		
845	Matses	back [of body]	espalda	katʂo	katʂo	k a ʈʂ o	back _tso	32		
846	Matis	back [of body]	espalda	kaʂuku	kaʂuku	k a + ʂ u k u	back _suku	32		
847	Marubo	back [of body]	espalda	kaʂu	kaʂu	k a ʂ u		32		
848	Katukina	back [of body]	espalda	pimana	pimana	p i m a n a		30		
849	Kanamari	back [of body]	espalda	kaʃo	kaʃo	k a ʃ o		32		
850	Shipibo_Konibo	back [of body]	espalda	pɨka	pɨka	p ɨ k a		30		
851	Kapanawa	back [of body]	espalda	pɨka	pɨka	p ɨ k a		30		
852	Arara	back [of body]	espalda	pitʃi	pitʃi	p i tʃ i		30		
853	Shanenawa	back [of body]	espalda	pustʃi	pustʃi	p u s tʃ i		30		
854	Nukini	back [of body]	espalda	puʃi	puʃi	p u ʃ i		30		
855	Poyanawa	back [of body]	espalda	pɨti	pɨti	p ɨ t i		30		
856	Iskonawa	back [of body]	espalda	pɨʧi	pɨʧi	p ɨ tʃ i		30		
857	Iskonawa	back [of body]	espalda	katɨ	katɨ	k a t ɨ		32		
858	Chakobo	back [of body]	espalda	katɨ	katɨ	k a t ɨ		32		
859	Kakataibo	back [of body]	espalda	kaʂo	kaʂo	k a ʂ o		32		
860	Kaxarari	back [of body]	espalda	katapu	katapu	k a t a p u		32		
861	Mastanawa	back [of body]	espalda	piʧi	piʧi	p i tʃ i		30		
862	Chaninawa	back [of body]	espalda	pɨʂaβati	pɨʂaβati	p ɨ ʂ a β a t i		30		
863	Sharanawa	back [of body]	espalda	pɨmiti	pɨmiti	p ɨ m i t i		30		
864	Amawaka	back [of body]	espalda	katɨ	katɨ	k a t ɨ		32		
865	Nawa	back [of body]	espalda	pɨʧi	pɨʧi	p ɨ tʃ i		30		
866	Marinawa	back [of body]	espalda	pɨʧi	pɨʧi	p ɨ tʃ i		30		
867	Yaminawa	back [of body]	espalda	piʧi	piʧi	p i tʃ i		30		
868	Kashinawa_P	back [of body]	espalda	pɨʧi	pɨʧi	p ɨ tʃ i		30		
869	Araona	back [of body]	espalda	bebakʷa	bebakʷa	b e b a kʷ a		31		
870	Araona	back [of body]	espalda	besese	besese	b e s e s e		31		
871	Tacana	back [of body]	espalda	biši	biši	b i ʃ i		31		
872	Cavinena	back [of body]	espalda	e-bebakʷa	ebebakʷa	e b e b a kʷ a		31		
873	Ese_ejja	back [of body]	espalda	e-hakaxa	ehakaxa	e h a k a x a		36		
874	Matses	skin [of person]	piel	βitsi	βitsi	β i ts i	skin	1063		
875	Matis	skin [of person]	piel	βidtsi	βidtsi	β i dts/ts i	skin	1063		
876	Marubo	skin [of person]	piel	ɨʂpi	ɨʂpi	ɨ ʂ p i		1065		
877	Katukina	skin [of person]	piel	wixiβi	wixiβi	w i x i β i		1063		
878	Shipibo_Konibo	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i	skin	1063		
879	Kapanawa	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i		1063		
880	Arara	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i		1063		
881	Shanenawa	skin [of person]	piel	ɸitʃi	ɸitʃi	ɸ i tʃ i		1063		
882	Yawanawa	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i		1063		
883	Nukini	skin [of person]	piel	βiʃi	βiʃi	β i ʃ i		1063		
884	Iskonawa	skin [of person]	piel	βiʧi	βiʧi	β i tʃ i		1063		
885	Iskonawa	skin [of person]	piel	haka	haka	h a k a		1062		
886	Chakobo	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i		1063		
887	Pakawara	skin [of person]	piel	witʃi	witʃi	w i tʃ i		1063		
888	Kakataibo	skin [of person]	piel	ʂaka	ʂaka	ʂ a k a		1062		
889	Kaxarari	skin [of person]	piel	witʃi	witʃi	w i tʃ i		1063		
890	Mastanawa	skin [of person]	piel	ɸiʧi	ɸiʧi	ɸ i tʃ i		1063		
891	Chaninawa	skin [of person]	piel	ɸit͡ʃi	ɸit͡ʃi	ɸ i tʃ i		1063		
892	Sharanawa	skin [of person]	piel	ɸit͡ʃi	ɸit͡ʃi	ɸ i tʃ i		1063		
893	Amawaka	skin [of person]	piel	punj̃ã	punj̃ã	p u n j̃ ã		1064		
894	Nawa	skin [of person]	piel	ɸiʧi	ɸiʧi	ɸ i tʃ i		1063		
895	Marinawa	skin [of person]	piel	ɸiʧi	ɸiʧi	ɸ i tʃ i		1063		
896	Yaminawa	skin [of person]	piel	ɸiʧi	ɸiʧi	ɸ i tʃ i		1063		
897	Kashinawa_P	skin [of person]	piel	βiʧi	βiʧi	β i tʃ i		1063		
898	Kashinawa_B	skin [of person]	piel	βitʃi	βitʃi	β i tʃ i		1063		
899	Araona	skin [of person]	piel	biki	biki	b i k i		1063		
900	Tacana	skin [of person]	piel	e-biti	ebiti	e b i t i		1063		
901	Cavinena	skin [of person]	piel	e-biti	ebiti	e b i t i		1063		
902	Ese_ejja	skin [of person]	piel	e'he	e'he	e ʔ h e		1067		
903	Matses	tail	rabo cola	inkuente	inkuente	i n + k u e n t e	tail _kuente	1258		
904	Matis	tail	rabo cola	ina	ina	i n a		1253		
905	Marubo	tail	rabo cola	ina	ina	i n a		1253		
906	Kanamari	tail	rabo cola	hina	hina	h i n a		1253		
907	Shipibo_Konibo	tail	rabo cola	hina	hina	h i n a		1253		
908	Kapanawa	tail	rabo cola	hina	hina	h i n a		1253		
909	Arara	tail	rabo cola	inda	inda	i n d a		1253		
910	Shanenawa	tail	rabo cola	ina	ina	i n a		1253		
911	Yawanawa	tail	rabo cola	ina	ina	i n a		1253		
912	Poyanawa	tail	rabo cola	βãti	βãti	β ã t i		1256		
913	Iskonawa	tail	rabo cola	ina	ina	i n a		1253		
914	Chakobo	tail	rabo cola	hina	hina	h i n a		1253		
915	Kakataibo	tail	rabo cola	ina	ina	i n a		1253		
916	Kaxarari	tail	rabo cola	tʃina	tʃina	tʃ i n a		1614		
917	Mastanawa	tail	rabo cola	ida	ida	i d a		1253		
918	Chaninawa	tail	rabo cola	ida	ida	i d a		1253		
919	Sharanawa	tail	rabo cola	i:da	i:da	iː d a		1253		
920	Amawaka	tail	rabo cola	hinda	hinda	h i n d a		1253		
921	Nawa	tail	rabo cola	ʦimaʂa	ʦimaʂa	ts i m a ʂ a		1257		
922	Marinawa	tail	rabo cola	inda	inda	i n d a		1253		
923	Yaminawa	tail	rabo cola	tɨdɨ	tɨdɨ	t ɨ d ɨ		1616		
924	Kashinawa_P	tail	rabo cola	hina	hina	h i n a		1253		
925	Kashinawa_B	tail	rabo cola	hina	hina	h i n a		1253		
926	Araona	tail	rabo cola	siča	siča	s i tʃ a		1254		
927	Tacana	tail	rabo cola	e-tiða	etiða	e t i dʱ a		1254		
928	Tacana	tail	rabo cola	e-tima	etima	e t i m a		1254		
929	Cavinena	tail	rabo cola	iwa	iwa	i w a		1255		
930	Ese_ejja	tail	rabo cola	e-waʔo	ewaʔo	e w a ʔ o		1255		
931	Matses	leg	pierna	nidte	nidte	n i d + t e	leg _te	688		
932	Matis	leg	pierna	tawi	tawi	t a w i		687		
933	Marubo	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
934	Marubo	leg	pierna	itaʂɨ	itaʂɨ	i t a ʂ ɨ		683		
935	Katukina	leg	pierna	kixu	kixu	k i x u		682		
936	Kanamari	leg	pierna	hitaʃ	hitaʃ	h i t a ʃ		683		
937	Kanamari	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
938	Shipibo_Konibo	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
939	Shipibo_Konibo	leg	pierna	witaʂ	witaʂ	w i t a ʂ		683		
940	Kapanawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
941	Kapanawa	leg	pierna	witaʂ	witaʂ	w i t a ʂ		683		
942	Arara	leg	pierna	βitaʃi	βitaʃi	β i t a ʃ i		683		
943	Arara	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
944	Shanenawa	leg	pierna	taɨ	taɨ	t a ɨ		687		
945	Yawanawa	leg	pierna	βitaʃ	βitaʃ	β i t a ʃ		683		
946	Nukini	leg	pierna	βiʃta	βiʃta	β i ʃ t a		683		
947	Iskonawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
948	Chakobo	leg	pierna	wiku	wiku	w i k u		686		
949	Pakawara	leg	pierna	wiku	wiku	w i k u		686		
950	Kakataibo	leg	pierna	kisi	kisi	k i s i		682		
951	Kaxarari	leg	pierna	witaʂɨ	witaʂɨ	w i t a ʂ ɨ		683		
952	Mastanawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
953	Chaninawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
954	Sharanawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
955	Sharanawa	leg	pierna	ɸitaʂɨ	ɸitaʂɨ	ɸ i t a ʂ ɨ		683		
956	Amawaka	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
957	Nawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
958	Nawa	leg	pierna	ɸitaʂ	ɸitaʂ	ɸ i t a ʂ		683		
959	Marinawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
960	Marinawa	leg	pierna	ɸitaʃi	ɸitaʃi	ɸ i t a ʃ i		683		
961	Yaminawa	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
962	Kashinawa_P	leg	pierna	kiʃi	kiʃi	k i ʃ i		682		
963	Kashinawa_B	leg	pierna	kiʂi	kiʂi	k i ʂ i		682		
964	Araona	leg	pierna	tiǰada	tiǰada	t i dʒ a d a		685		
965	Araona	leg	pierna	eta	eta	e t a		684		
966	Tacana	leg	pierna	e-tidada	etidada	e t i d a d a		685		
967	Cavinena	leg	pierna	e-c̷a-ka	ec̷aka	e tʃ a k a		684		
968	Ese_ejja	leg	pierna	e-kise	ekise	e k i s e		682		
969	Matses	foot	pie	taɨ	taɨ	t a ɨ	foot	483		
970	Matis	foot	pie	taɨ	taɨ	t a ɨ		483		
971	Marubo	foot	pie	taɨ	taɨ	t a ɨ		483		
972	Katukina	foot	pie	tae	tae	t a e		483		
973	Kanamari	foot	pie	ta?ɨ	taʔɨ	t a ʔ ɨ		483		
974	Shipibo_Konibo	foot	pie	taɨ	taɨ	t a ɨ		483		
975	Kapanawa	foot	pie	taɨ	taɨ	t a ɨ		483		
976	Arara	foot	pie	taɨ	taɨ	t a ɨ		483		
977	Shanenawa	foot	pie	taɨ	taɨ	t a ɨ		483		
978	Yawanawa	foot	pie	taɨ	taɨ	t a ɨ		483		
979	Nukini	foot	pie	taɨ	taɨ	t a ɨ		483		
980	Poyanawa	foot	pie	taɨ	taɨ	t a ɨ		483		
981	Iskonawa	foot	pie	taɨ	taɨ	t a ɨ		483		
982	Chakobo	foot	pie	ta?ɨ	taʔɨ	t a ʔ ɨ		483		
983	Pakawara	foot	pie	ta?ɨ	taʔɨ	t a ʔ ɨ		483		
984	Kakataibo	foot	pie	taɨ	taɨ	t a ɨ		483		
985	Kaxarari	foot	pie	taɨ	taɨ	t a ɨ		483		
986	Mastanawa	foot	pie	taɨ	taɨ	t a ɨ		483		
987	Chaninawa	foot	pie	taɨ	taɨ	t a ɨ		483		
988	Sharanawa	foot	pie	taɨ	taɨ	t a ɨ		483		
989	Amawaka	foot	pie	taʔɨ	taʔɨ	t a ʔ ɨ		483		
990	Nawa	foot	pie	taɨ	taɨ	t a ɨ		483		
991	Marinawa	foot	pie	uʂpaɾu	uʂpaɾu	u ʂ p a ɾ u		485		
992	Yaminawa	foot	pie	taɨ	taɨ	t a ɨ		483		
993	Kashinawa_P	foot	pie	taɨ	taɨ	t a ɨ		483		
994	Kashinawa_B	foot	pie	taɨ	taɨ	t a ɨ		483		
995	Araona	foot	pie	wac̷i	wac̷i	w a tʃ i		484		
996	Tacana	foot	pie	e-wac̷i	ewac̷i	e w a tʃ i		484		
997	Tacana	foot	pie	e-c̷aha	ec̷aha	e tʃ a h a		382		
998	Cavinena	foot	pie	e-wači	ewači	e w a tʃ i		484		
999	Ese_ejja	foot	pie	e-hio-xi	ehioxi	e h i o x i		486		
1000	Matses	wing	ala	podo	podo	p o d o	wing	1480		
1001	Matis	wing	ala	pɨi	pɨi	p ɨ i		1480		
1002	Marubo	wing	ala	pɨi	pɨi	p ɨ i	leaf	1480		
1003	Shipibo_Konibo	wing	ala	pɨtʃi	pɨtʃi	p ɨ tʃ i		1480		
1004	Kapanawa	wing	ala	pɨi	pɨi	p ɨ i	leaf	1480		
1005	Arara	wing	ala	pɨtaw	pɨtaw	p ɨ t a w		1480		
1006	Shanenawa	wing	ala	pɨj	pɨj	p ɨ dʒ		1480		
1007	Yawanawa	wing	ala	pɨj	pɨj	p ɨ dʒ		1480		
1008	Iskonawa	wing	ala	pɨi	pɨi	p ɨ i		1480		
1009	Chakobo	wing	ala	pɨ?i	pɨʔi	p ɨ ʔ i		1480		
1010	Kakataibo	wing	ala	pɨi	pɨi	p ɨ i		1480		
1011	Kaxarari	wing	ala	patsasi	patsasi	p a ts a s i		1484		
1012	Mastanawa	wing	ala	ampɨj	ampɨj	a m p ɨ dʒ		1480		
1013	Chaninawa	wing	ala	pɨtau	pɨtau	p ɨ t a u		1480		
1014	Sharanawa	wing	ala	dujati	dujati	d u j a t i		1485		
1015	Amawaka	wing	ala	pɨʔi	pɨʔi	p ɨ ʔ i		1480		
1016	Nawa	wing	ala	pɨtaw	pɨtaw	p ɨ t a w		1480		
1017	Marinawa	wing	ala	pɨtaw	pɨtaw	p ɨ t a w		1480		
1018	Yaminawa	wing	ala	pɨta	pɨta	p ɨ t a		1480		
1019	Kashinawa_P	wing	ala	pɨj	pɨj	p ɨ dʒ		1480		
1020	Kashinawa_B	wing	ala	pɨi	pɨi	p ɨ i		1480		
1021	Araona	wing	ala	nabai	nabai	n a b a i		1481		
1022	Tacana	wing	ala	enaba(h)i	enabai	e n a b a i		1481		
1023	Cavinena	wing	ala	yahapa-ra	yahapara	j a h a p a r a		1482		
1024	Ese_ejja	wing	ala	e-kʷičo	ekʷičo	e kʷ i tʃ o		1483		
1025	Matses	hand	mano	mɨdante	mɨdante	m ɨ d a n + t e	hand _dante	546		
1026	Matis	hand	mano	mɨkɨn	mɨkɨn	m ɨ + k ɨ n	hand _kin	546		
1027	Marubo	hand	mano	mɨβi	mɨβi	m ɨ β i		546		
1028	Katukina	hand	mano	meβi	meβi	m e β i		546		
1029	Kanamari	hand	mano	mwɨβi	mwɨβi	mʷ ɨ β i		546		
1030	Shipibo_Konibo	hand	mano	mɨkɨn	mɨkɨn	m ɨ k ɨ n		546		
1031	Kapanawa	hand	mano	mɨkɨn	mɨkɨn	m ɨ k ɨ n		546		
1032	Arara	hand	mano	βɨhi	βɨhi	β ɨ h i		546		
1033	Shanenawa	hand	mano	mɨɸi	mɨɸi	m ɨ ɸ i		546		
1034	Yawanawa	hand	mano	mɨhi	mɨhi	m ɨ h i		546		
1035	Nukini	hand	mano	mɨwi	mɨwi	m ɨ w i		546		
1036	Poyanawa	hand	mano	mɨkɨn	mɨkɨn	m ɨ k ɨ n		546		
1037	Iskonawa	hand	mano	mɨˀβi	mɨˀβi	m ɨˀ β i		546		
1038	Chakobo	hand	mano	mɨkɨnɨ	mɨkɨnɨ	m ɨ k ɨ n ɨ		546		
1039	Pakawara	hand	mano	mɨkɨna	mɨkɨna	m ɨ k ɨ n a		546		
1040	Kakataibo	hand	mano	mɨkɨn	mɨkɨn	m ɨ k ɨ n		546		
1041	Kaxarari	hand	mano	mɨkɨlɨ	mɨkɨlɨ	m ɨ k ɨ l ɨ		546		
1042	Mastanawa	hand	mano	bɨɸi	bɨɸi	b ɨ ɸ i		546		
1043	Chaninawa	hand	mano	βɨkɨ	βɨkɨ	β ɨ k ɨ		546		
1044	Chaninawa	hand	mano	βɨɸi	βɨɸi	β ɨ ɸ i		546		
1045	Sharanawa	hand	mano	bɨɸi	bɨɸi	b ɨ ɸ i		546		
1046	Amawaka	hand	mano	mɨkɨn	mɨkɨn	m ɨ k ɨ n		546		
1047	Nawa	hand	mano	bɨkɨ	bɨkɨ	b ɨ k ɨ		546		
1048	Marinawa	hand	mano	bɨkɨ	bɨkɨ	b ɨ k ɨ		546		
1049	Yaminawa	hand	mano	mɨʔɨ	mɨʔɨ	m ɨ ʔ ɨ		546		
1050	Kashinawa_P	hand	mano	mɨki	mɨki	m ɨ k i		546		
1051	Kashinawa_B	hand	mano	mɨ̃kɨ̃	mɨ̃kɨ̃	m ɨ̃ k ɨ̃		546		
1052	Araona	hand	mano	e-me	eme	e m e		546		
1053	Tacana	hand	mano	eme	eme	e m e		546		
1054	Cavinena	hand	mano	e-me-toko	emetoko	e m e t o k o		546		
1055	Ese_ejja	hand	mano	e-me	eme	e m e		546		
1056	Matses	feather [large]	pluma	podo	podo	p o d o	wing	312		
1057	Matis	feather [large]	pluma	podo	podo	p o d o	leaf	312		
1058	Marubo	feather [large]	pluma	pɨi	pɨi	p ɨ i	leaf	375		
1059	Katukina	feather [large]	pluma	rani	rani	r a n i		376		
1060	Kanamari	feather [large]	pluma	pɨ?i	pɨʔi	p ɨ ʔ i		375		
1061	Shipibo_Konibo	feather [large]	pluma	pɨi	pɨi	p ɨ i	leaf	375		
1062	Shipibo_Konibo	feather [large]	pluma	rani	rani	r a n i		376		
1063	Kapanawa	feather [large]	pluma	pɨi	pɨi	p ɨ i	leaf	375		
1064	Arara	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1065	Shanenawa	feather [large]	pluma	pɨj	pɨj	p ɨ dʒ		375		
1066	Yawanawa	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1067	Nukini	feather [large]	pluma	kɨru	kɨru	k ɨ r u		380		
1068	Poyanawa	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1069	Iskonawa	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1070	Chakobo	feather [large]	pluma	pɨ?i	pɨʔi	p ɨ ʔ i		375		
1071	Pakawara	feather [large]	pluma	puhi	puhi	p u h i		375		
1072	Kakataibo	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1073	Kaxarari	feather [large]	pluma	pii	pii	p iː		375		
1074	Mastanawa	feather [large]	pluma	ʂupu	ʂupu	ʂ u p u		378		
1075	Chaninawa	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1076	Sharanawa	feather [large]	pluma	ʂupu	ʂupu	ʂ u p u		378		
1077	Amawaka	feather [large]	pluma	pɨʔi	pɨʔi	p ɨ ʔ i		375		
1078	Nawa	feather [large]	pluma	ɾadi	ɾadi	ɾ a d i		376		
1079	Marinawa	feather [large]	pluma	ɾandi	ɾandi	ɾ a n d i		376		
1080	Yaminawa	feather [large]	pluma	pɨj	pɨj	p ɨ dʒ		375		
1081	Kashinawa_P	feather [large]	pluma	pɨj	pɨj	p ɨ dʒ		375		
1082	Kashinawa_B	feather [large]	pluma	pɨi	pɨi	p ɨ i		375		
1083	Araona	feather [large]	pluma	e-iɲa	eiɲa	e i ɲ a		377		
1084	Tacana	feather [large]	pluma	e-ina	eina	e i n a		377		
1085	Cavinena	feather [large]	pluma	e-kata	ekata	e k a t a		314		
1086	Ese_ejja	feather [large]	pluma	e-kʷičo	ekʷičo	e kʷ i tʃ o		314		
1087	Matses	heart	corazon	winte	uinte	u i n t e	heart	566		
1088	Matis	heart	corazon	winte	uinte	u i n + t e	breath _te	566		
1089	Marubo	heart	corazon	winti	winti	w i n + t i	heart _te	566		
1090	Katukina	heart	corazon	winti	winti	w i n t i		566		
1091	Shipibo_Konibo	heart	corazon	huinti	huinti	h u i n + t i	breathe _ti	566		
1092	Kapanawa	heart	corazon	hwinti	hwinti	h w i n + t i	heart _tie	566		
1093	Arara	heart	corazon	ũti	ũti	ũ t i		566		
1094	Shanenawa	heart	corazon	uinti	uinti	u i n t i		566		
1095	Yawanawa	heart	corazon	ũĩti	ũĩti	ũ ĩ t i		566		
1096	Nukini	heart	corazon	kɨpĩ	kɨpĩ	k ɨ p ĩ		569		
1097	Poyanawa	heart	corazon	ũĩti	ũĩti	ũ ĩ t i		566		
1098	Iskonawa	heart	corazon	ũĩti	ũĩti	ũ ĩ t i		566		
1099	Chakobo	heart	corazon	huiti	huiti	h u i t i		566		
1100	Pakawara	heart	corazon	huwiti	huwiti	h u w i t i		566		
1101	Kakataibo	heart	corazon	nuitu	nuitu	n u i t u		566		
1102	Kaxarari	heart	corazon	hɨya	hɨya	h ɨ j a		570		
1103	Mastanawa	heart	corazon	uɨnti	uɨnti	u ɨ n t i		566		
1104	Chaninawa	heart	corazon	uĩti	uĩti	u ĩ t i		566		
1105	Sharanawa	heart	corazon	ũĩti	ũĩti	ũ ĩ t i		566		
1106	Amawaka	heart	corazon	huinti	huinti	h u i n t i		566		
1107	Nawa	heart	corazon	uɨnti	uɨnti	u ɨ n t i		566		
1108	Marinawa	heart	corazon	uɨnti	uɨnti	u ɨ n t i		566		
1109	Yaminawa	heart	corazon	uwɨti	uwɨti	u w ɨ t i		566		
1110	Kashinawa_P	heart	corazon	ɸujnti	ɸujnti	ɸ u j n t i		566		
1111	Kashinawa_B	heart	corazon	huĩti	huĩti	h u ĩ t i		566		
1112	Araona	heart	corazon	mosoho	mosoho	m o s o h o		568		
1113	Tacana	heart	corazon	moesomo	moesomo	m o e s o m o		568		
1114	Cavinena	heart	corazon	e-niho	eniho	e n i h o		572		
1115	Cavinena	heart	corazon	eniyu	eniyu	e n i j u		567		
1116	Cavinena	heart	corazon	niyu	niyu	n i j u		567		
1117	Ese_ejja	heart	corazon	e-kihixi	ekihixi	e k i h i x i		571		
1118	Matses	guts	tripas intestinos	puku	puku	p u k u	belly	534		
1119	Matis	guts	tripas intestinos	puku	puku	p u k u	belly	534		
1120	Marubo	guts	tripas intestinos	puku	puku	p u k u		534		
1121	Katukina	guts	tripas intestinos	puku	puku	p u k u		534		
1122	Shipibo_Konibo	guts	tripas intestinos	puku	puku	p u k u	belly	534		
1123	Kapanawa	guts	tripas intestinos	puku	puku	p u k u	belly	534		
1124	Shanenawa	guts	tripas intestinos	puku	puku	p u k u		534		
1125	Yawanawa	guts	tripas intestinos	puku	puku	p u k u		534		
1126	Nukini	guts	tripas intestinos	puku	puku	p u k u		534		
1127	Poyanawa	guts	tripas intestinos	βɨtɨh	βɨtɨh	β ɨ t ɨ h		536		
1128	Iskonawa	guts	tripas intestinos	puku	puku	p u k u		534		
1129	Chakobo	guts	tripas intestinos	puku	puku	p u k u		534		
1130	Kakataibo	guts	tripas intestinos	puku	puku	p u k u		534		
1131	Mastanawa	guts	tripas intestinos	puʔu	puʔu	p u ʔ u		534		
1132	Chaninawa	guts	tripas intestinos	puku	puku	p u k u		534		
1133	Sharanawa	guts	tripas intestinos	puku	puku	p u k u		534		
1134	Amawaka	guts	tripas intestinos	puku	puku	p u k u		534		
1135	Nawa	guts	tripas intestinos	puku	puku	p u k u		534		
1136	Marinawa	guts	tripas intestinos	puku	puku	p u k u		534		
1137	Yaminawa	guts	tripas intestinos	puʔu	puʔu	p u ʔ u		534		
1138	Kashinawa_P	guts	tripas intestinos	puku	puku	p u k u		534		
1139	Araona	guts	tripas intestinos	e-c̷ama	ec̷ama	e tʃ a m a		535		
1140	Tacana	guts	tripas intestinos	e-c̷ama	ec̷ama	e tʃ a m a		535		
1141	Cavinena	guts	tripas intestinos	e-sere	esere	e s e r e		537		
1142	Ese_ejja	guts	tripas intestinos	e-see	esee	e s eː		537		
1143	Matses	liver	higado	isese	isese	i s e s e	liver	709		
1144	Matis	liver	higado	takua	takua	t a k u a		708		
1145	Marubo	liver	higado	taka	taka	t a k a		708		
1146	Katukina	liver	higado	taka	taka	t a k a		708		
1147	Shipibo_Konibo	liver	higado	taka	taka	t a k a		708		
1148	Kapanawa	liver	higado	taka	taka	t a k a		708		
1149	Arara	liver	higado	taka	taka	t a k a		708		
1150	Shanenawa	liver	higado	taka	taka	t a k a		708		
1151	Yawanawa	liver	higado	taka	taka	t a k a		708		
1152	Nukini	liver	higado	taka	taka	t a k a		708		
1153	Poyanawa	liver	higado	taka	taka	t a k a		708		
1154	Iskonawa	liver	higado	taka	taka	t a k a		708		
1155	Chakobo	liver	higado	taka	taka	t a k a		708		
1156	Pakawara	liver	higado	taka	taka	t a k a		708		
1157	Kakataibo	liver	higado	takwa	takwa	t a kʷ a		708		
1158	Kaxarari	liver	higado	taka	taka	t a k a		708		
1159	Mastanawa	liver	higado	taʔa	taʔa	t a ʔ a		708		
1160	Chaninawa	liver	higado	taka	taka	t a k a		708		
1161	Sharanawa	liver	higado	taka	taka	t a k a		708		
1162	Amawaka	liver	higado	tança	tança	t a n ç a		708		
1163	Nawa	liver	higado	taka	taka	t a k a		708		
1164	Marinawa	liver	higado	taka	taka	t a k a		708		
1165	Yaminawa	liver	higado	taʔa	taʔa	t a ʔ a		708		
1166	Kashinawa_P	liver	higado	taka	taka	t a k a		708		
1167	Kashinawa_B	liver	higado	taka	taka	t a k a		708		
1168	Araona	liver	higado	takʷa	takʷa	t a kʷ a		708		
1169	Tacana	liver	higado	e-takʷa	etakʷa	e t a kʷ a		708		
1170	Cavinena	liver	higado	e-takʷa	etakʷa	e t a kʷ a		708		
1171	Ese_ejja	liver	higado	e-kakʷa	ekakʷa	e k a kʷ a		708		
1172	Matses	bone	hueso	kanite	kanite	k a + n i t e	back _nite	121		
1173	Matis	bone	hueso	wiʃpo	wiʃpo	w i ʃ p o		122		
1174	Marubo	bone	hueso	ʂau	ʂau	ʂ a u		125		
1175	Katukina	bone	hueso	xau	xau	x a u		125		
1176	Shipibo_Konibo	bone	hueso	ʂau	ʂau	ʂ a u		125		
1177	Kapanawa	bone	hueso	ʂaw	ʂaw	ʂ a w		125		
1178	Arara	bone	hueso	ʃau	ʃau	ʃ a.w		125		
1179	Shanenawa	bone	hueso	ʂaw	ʂaw	ʂ a w		125		
1180	Yawanawa	bone	hueso	ʂau	ʂau	ʂ a u		125		
1181	Nukini	bone	hueso	hau	hau	h a u		125		
1182	Poyanawa	bone	hueso	haw	haw	h a w		125		
1183	Iskonawa	bone	hueso	haw	haw	h a w		125		
1184	Chakobo	bone	hueso	ʂau	ʂau	ʂ a u		125		
1185	Pakawara	bone	hueso	ʂau	ʂau	ʂ a u		125		
1186	Kakataibo	bone	hueso	ʂo	ʂo	ʂ o		125		
1187	Kaxarari	bone	hueso	ʂahu	ʂahu	ʂ a h u		125		
1188	Mastanawa	bone	hueso	ʂaw	ʂaw	ʂ a w		125		
1189	Chaninawa	bone	hueso	ʂau	ʂau	ʂ a u		125		
1190	Sharanawa	bone	hueso	ʂau	ʂau	ʂ a u		125		
1191	Amawaka	bone	hueso	çaw	çaw	ç a w		125		
1192	Nawa	bone	hueso	ʂaw	ʂaw	ʂ a w		125		
1193	Marinawa	bone	hueso	ʂaw	ʂaw	ʂ a w		125		
