ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
107	Shipibo_Konibo	fish [noun]	yapa	yapa	j a p a		357
108	Kapanawa	fish [noun]	yapa	yapa	j a p a		357
109	Shanenawa	fish [noun]	iʂkin	iʂkin	i ʂ k i n		421
110	Yawanawa	fish [noun]	juma	juma	j u m a		412
111	Nukini	fish [noun]	naʂtu	naʂtu	n a ʂ t u		419
112	Nukini	fish [noun]	kawa	kawa	k a w a		415
113	Poyanawa	fish [noun]	jumã	jumã	j u m ã		412
114	Iskonawa	fish [noun]	juma	juma	j u m a		412
115	Chakobo	fish [noun]	yapa	yapa	j a p a		357
116	Pakawara	fish [noun]	saninu	saninu	s a n i + n u		420
117	Kakataibo	fish [noun]	ɲapa	tsatsa	ts a ts a		412
118	Kaxarari	fish [noun]	mailu	mailu	m a i l u		417
119	Mastanawa	fish [noun]	ʃima	ʃima	ʃ i m a		413
120	Chaninawa	fish [noun]	ʃima	ʃima	ʃ i m a		413
121	Chaninawa	fish [noun]	βaka	βaka	β a k a		415
122	Sharanawa	fish [noun]	ʃima	ʃima	ʃ i m a		413
123	Amawaka	fish [noun]	jumba	jumba	j u ⁿb a		412
124	Nawa	fish [noun]	ʃima	ʃima	ʃ i m a		413
125	Marinawa	fish [noun]	ʃima	ʃima	ʃ i m a		413
126	Yaminawa	fish [noun]	huwɨ	huwɨ	h u w ɨ		422
127	Kashinawa_P	fish [noun]	βaka	βaka	β a k a		415
128	Kashinawa_B	fish [noun]	βaka	βaka	β a k a		415
129	Araona	fish [noun]	jae	jae	j a e		414
2255	Matses	float	nuad	nuad	n u a d		425
2256	Matis	float	nuad	nuad	n u a d		425
2257	Marubo	float	nunu	nunu	n u n u		424
2258	Shipibo_Konibo	float	tuʂβa	tuʂβa	t u ʂ β a		426
2259	Kapanawa	float	nunu	nunu	n u n u		424
2260	Kapanawa	float	tuʂβa	tuʂβa	t u ʂ β a		426
2261	Iskonawa	float	nunu	nunu	n u n u		424
2262	Chakobo	float	nunu	nunu	n u n u		424
2263	Kakataibo	float	βɨspo	βɨspo	β ɨ s p o		430
2264	Mastanawa	float	dudua	dudua	d u d u a		424
2265	Chaninawa	float	dudu	dudu	d u d u		424
2266	Sharanawa	float	dudu	dudu	d u d u		424
2267	Amawaka	float	nundu	nundu	n u ⁿd u		424
2268	Nawa	float	tupi	tupi	t u p i		431
2269	Marinawa	float	dunduj	dunduj	d u ⁿd u j		424
2270	Yaminawa	float	dudua	dudua	d u d u a		424
2271	Kashinawa_P	float	nunwa	nunwa	n u n w a		424
2272	Araona	float	beza	beza	b e z a		427
2273	Araona	float	zata	zata	z a t a		432
2367	Matses	flow	tʂɨwɨd	tʂɨwɨd	ʈʂ ɨ w ɨ d		439
2368	Matis	flow	ʂuke	ʂuke	ʂ u k e		435
2369	Marubo	flow	aβa	aβa	a β a		440
2370	Shipibo_Konibo	flow	iʃtua	iʃtua	i ʃ t u a		437
2371	Kapanawa	flow	ɨnɨ βaii	ɨnɨ aβa	ɨ n ɨ + a β a		445
2372	Iskonawa	flow	hu hu ik	hu hu ik	h u + h u + i k		441
2373	Chakobo	flow	wawa	wawa	w a w a		443
2374	Kakataibo	flow	ʔiβu	aβa	a β a		446
2375	Mastanawa	flow	sibɨj	sinbɨ	s i n b ɨ		434
2376	Chaninawa	flow	kuʃi	kuʃi	k u ʃ i		433
2377	Sharanawa	flow	ɸu	ɸu	ɸ u		438
2378	Amawaka	flow	ka	ka	k a		447
2379	Nawa	flow	pukɨ	pukɨ	p u k ɨ		379
2380	Marinawa	flow	kuʃi	kuʃi	k u ʃ i		433
2381	Marinawa	flow	sinbɨ	sinbɨ	s i n b ɨ		434
2382	Yaminawa	flow	kuʃi	kuʃi	k u ʃ i		433
2383	Kashinawa_P	flow	kuʃi	kuʃi	k u ʃ i		433
1151	Matses	flower	βakuɨ	βakuɨ	β a k u ɨ		454
1152	Matis	flower	wa	ua	u a		451
1153	Marubo	flower	wa	wa	w a		451
1154	Katukina	flower	hawa	hawa	h a w a		451
1155	Shipibo_Konibo	flower	hua	hua	h u a		448
1156	Kapanawa	flower	hua	hua	h u a		448
1157	Shanenawa	flower	nina	nina	n i n a		452
1158	Yawanawa	flower	ua	ua	u a		448
1159	Poyanawa	flower	tʃuku	tʃuku	tʃ u k u		453
1160	Iskonawa	flower	ua	ua	u a		448
1161	Chakobo	flower	hua	hua	h u a		448
1162	Pakawara	flower	hua	hua	h u a		448
1163	Kakataibo	flower	rua	rua	u a		449
1164	Kaxarari	flower	hihua	hihua	h i + h u a		448
1165	Mastanawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		449
1166	Chaninawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		449
1167	Sharanawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		449
1168	Amawaka	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		449
1169	Nawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		449
1170	Marinawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		449
1171	Yaminawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		449
1172	Kashinawa_P	flower	hwa	hwa	h u a		448
1173	Kashinawa_B	flower	hua	hua	h u a		448
1174	Araona	flower	etsa	etsa	e ts a		455
2320	Matses	fly [verb]	kapu	kapu	k a + p u		457
2321	Matis	fly [verb]	kapo	kapo	k a + p o		457
2322	Marubo	fly [verb]	nuja	nuja	n u j a		456
2323	Shipibo_Konibo	fly [verb]	nuya	nuya	n u j a		456
2324	Kapanawa	fly [verb]	nuya	nuya	n u j a		456
2325	Shanenawa	fly [verb]	nuja	nuja	n u j a		456
2326	Yawanawa	fly [verb]	nuja	nuja	n u j a		456
2327	Poyanawa	fly [verb]	jũnda	jũnda	j ũ ⁿd a		459
2328	Iskonawa	fly [verb]	juna	juna	j u n a		459
2329	Chakobo	fly [verb]	nuya	nuya	n u j a		456
2330	Kakataibo	fly [verb]	noan	noan	n o a n		456
2331	Kaxarari	fly [verb]	hatʃakikɨ	hatʃakikɨ	h a tʃ a k i k ɨ		462
2332	Mastanawa	fly [verb]	duʔujaj	duʔujai	d u ʔ u j a i		456
2333	Chaninawa	fly [verb]	duja	duja	d u j a		456
2334	Sharanawa	fly [verb]	duja	duja	d u j a		456
2335	Amawaka	fly [verb]	maka	maka	m a k a		464
2336	Nawa	fly [verb]	duja	duja	d u j a		456
2337	Marinawa	fly [verb]	duja	duja	d u j a		456
2338	Yaminawa	fly [verb]	jujaj	jujaj	j u j a j		456
2339	Kashinawa_P	fly [verb]	nuja	nuja	n u j a		456
2340	Kashinawa_B	fly [verb]	nuja	nuja	n u j a		456
2341	Araona	fly [verb]	kuabetsa	kuabetsa	k u a b e ts a		458
1656	Matses	fog	senadɨn kuɨte	senadɨn kuɨte	s e n a d ɨ n + k u ɨ + t e		476
1657	Matis	fog	nɨʂo βɨjunwate	nɨʂo βɨjunwate	n ɨ ʂ o + β ɨ j u n w a t e		477
1658	Marubo	fog	wiʃnan	wiʃnan	w i ʃ n a n		467
1659	Katukina	fog	ixinna	ixinna	i x/ʂ i n n a		467
1660	Shipibo_Konibo	fog	niʃβi	niʃβi	n i ʂ β i		465
1661	Kapanawa	fog	nɨtɨ kuru	nɨtɨ kuru	n ɨ t ɨ + k u r u		381
1662	Shanenawa	fog	kuĩ	kuĩ	k u ĩ		466
1663	Iskonawa	fog	kuin	kuin	k u i n		466
1664	Iskonawa	fog	bishai	bishai	b i ʃ a i		473
1665	Chakobo	fog	kuru	kuru	k u r u		381
1666	Kakataibo	fog	kwenkuru	kwenkuru	kʷ e n k u r u		468
1667	Kaxarari	fog	waikuʂuʂi	waikuʂuʂi	w a i k u ʂ u ʂ i		478
1668	Mastanawa	fog	kũĩ	kũĩ	k ũ ĩ		466
1669	Chaninawa	fog	diʃɸi	diʃɸi	d i ʂ ɸ i		465
1670	Sharanawa	fog	diɸĩ	diɸĩ	d i ɸ ĩ		465
1671	Amawaka	fog	nɨçbi	nɨçbi	n ɨ ç b i		465
1672	Nawa	fog	kuwĩ	kuwĩ	k u w ĩ		466
1673	Marinawa	fog	diʃɸu	diʃɸu	d i ʃ ɸ u		465
1674	Yaminawa	fog	kũwi	kũwi	k ũ w i		466
1675	Kashinawa_P	fog	asnɨ	asnɨ	a s n ɨ		479
1676	Kashinawa_B	fog	βahnɨ	βahnɨ	β a h n ɨ		480
1677	Araona	fog	baepa mozizi	baepa mozizi	b a e p a + m o z i z i		471
1678	Araona	fog	moso	moso	m o s o		474
835	Matses	foot	taɨ	taɨ	t a + ɨ		483
836	Matis	foot	taɨ	taɨ	t a + ɨ		483
837	Marubo	foot	taɨ	taɨ	t a + ɨ		483
838	Katukina	foot	tae	tae	t a + e		483
839	Kanamari	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ		483
840	Shipibo_Konibo	foot	taɨ	taɨ	t a + ɨ		483
841	Kapanawa	foot	taɨ	taɨ	t a + ɨ		483
842	Shanenawa	foot	taɨ	taɨ	t a + ɨ		483
843	Yawanawa	foot	taɨ	taɨ	t a + ɨ		483
844	Nukini	foot	taɨ	taɨ	t a + ɨ		483
845	Poyanawa	foot	taɨ	taɨ	t a + ɨ		483
846	Iskonawa	foot	taɨ	taɨ	t a + ɨ		483
847	Chakobo	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ		483
848	Pakawara	foot	ta?ɨ	taʔɨ	t a + ʔ ɨ		483
849	Kakataibo	foot	taɨ	taɨ	t a + ɨ		483
850	Kaxarari	foot	taɨ	taɨ	t a + ɨ		483
851	Mastanawa	foot	taɨ	taɨ	t a + ɨ		483
852	Chaninawa	foot	taɨ	taɨ	t a + ɨ		483
853	Sharanawa	foot	taɨ	taɨ	t a + ɨ		483
854	Amawaka	foot	taʔɨ	taʔɨ	t a + ʔ ɨ		483
855	Nawa	foot	taɨ	taɨ	t a + ɨ		483
856	Marinawa	foot	uʂpaɾu	uʂpaɾu	u ʂ p a ɾ u		485
857	Yaminawa	foot	taɨ	taɨ	t a + ɨ		483
858	Kashinawa_P	foot	taɨ	taɨ	t a + ɨ		483
859	Kashinawa_B	foot	taɨ	taɨ	t a + ɨ		483
860	Araona	foot	wac̷i	wac̷i	w a tʃ i		484
1175	Matses	fruit (berry)	βakuɨ	βakuɨ	β a k u ɨ		489
1176	Matis	fruit (berry)	tʃitʃo	tʃitʃo	tʃ i tʃ o		389
1177	Marubo	fruit (berry)	βimi	βimi	β i m i		487
1178	Katukina	fruit (berry)	βimi	βimi	β i m i		487
1179	Kanamari	fruit (berry)	βimi	βimi	β i m i		487
1180	Shipibo_Konibo	fruit (berry)	βimi	βimi	β i m i		487
1181	Kapanawa	fruit (berry)	βimi	βimi	β i m i		487
1182	Shanenawa	fruit (berry)	fimi	fimi	f i m i		487
1183	Yawanawa	fruit (berry)	βimi	βimi	β i m i		487
1184	Nukini	fruit (berry)	βimĩ	βimĩ	β i m ĩ		487
1185	Poyanawa	fruit (berry)	ũxi	ũxi	ũ x/ʂ i		490
1186	Iskonawa	fruit (berry)	βimi	βimi	β i m i		487
1187	Chakobo	fruit (berry)	βimi	βimi	β i m i		487
1188	Pakawara	fruit (berry)	βimi	βimi	β i m i		487
1189	Kakataibo	fruit (berry)	βimi	βimi	β i m i		487
1190	Kaxarari	fruit (berry)	wimi	wimi	w i m i		487
1191	Mastanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		487
1192	Chaninawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		487
1193	Sharanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		487
1194	Amawaka	fruit (berry)	wimbi	wimbi	w i m b i		487
1195	Nawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		487
1196	Marinawa	fruit (berry)	ɸinbi	ɸinbi	ɸ i n b i		487
1197	Yaminawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		487
1198	Kashinawa_P	fruit (berry)	βimi	βimi	β i m i		487
1199	Kashinawa_B	fruit (berry)	βimi	βimi	β i m i		487
1200	Araona	fruit (berry)	jaja	jaja	j a j a		488
2453	Matses	give	mene	mene	m e + n e		496
2454	Matis	give	mene	mene	m e n e		496
2455	Marubo	give	ina	ina	i n a		491
2456	Katukina	give	ina	ina	i n a		491
2457	Shipibo_Konibo	give	mɨni	mɨni	m ɨ n i		496
2458	Kapanawa	give	inan	inan	i n a n		491
2459	Shanenawa	give	inan	inan	i n a n		491
2460	Yawanawa	give	inan	inan	i n a n		491
2461	Poyanawa	give	inan	inan	i n a n		491
2462	Iskonawa	give	mini	mini	m i n i		496
2463	Iskonawa	give	inan	inan	i n a n		491
2464	Chakobo	give	mɨ	mɨ	m ɨ		496
2465	Kakataibo	give	ʔinan	ʔinan	ʔ i n a n		491
2466	Mastanawa	give	ina	ina	i n a		491
2467	Chaninawa	give	inan	inan	i n a n		491
2468	Sharanawa	give	inan	inan	i n a n		491
2469	Amawaka	give	ina	inan	i n a n		491
2470	Nawa	give	ina	ina	i n a		491
2471	Marinawa	give	ina	ina	i n a		491
2472	Yaminawa	give	biʔdi	bidi	b i d i		496
2473	Kashinawa_P	give	inan	inan	i n a n		491
2474	Araona	give	ti	ti	t i		497
2475	Araona	give	siji	siji	s i j i		497
3777	Matses	good	βɨda	βɨda	β ɨ d a		503
3778	Matis	good	βɨda	βɨda	β ɨ d a		503
3779	Marubo	good	rua	rua	r u a		499
3780	Katukina	good	rua-pa	ruapa	r u a p a		499
3781	Shipibo_Konibo	good	hakun	hakun	h a k u n		502
3782	Kapanawa	good	siri	siri	s i r i		498
3783	Kapanawa	good	hakun	hakun	h a k u n		502
3784	Shanenawa	good	ʂaraka	ʃaraka	ʃ a r a k a		498
3785	Yawanawa	good	ʃara	ʃara	ʃ a r a		498
3786	Nukini	good	iru	iru	i r u		499
3787	Poyanawa	good	iru	iru	i r u		499
3788	Iskonawa	good	iru	iru	i r u		499
3789	Chakobo	good	hia	hia	h i a		506
3790	Kakataibo	good	upi	upi	u p i		500
3791	Kaxarari	good	tsuwi	tsuwi	ts u w i		505
3792	Mastanawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a		498
3793	Chaninawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		498
3794	Sharanawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		498
3795	Amawaka	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		498
3796	Nawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		498
3797	Marinawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a		498
3798	Yaminawa	good	ʂaɾa	ʃaɾa	ʃ a ɾ a		498
3799	Yaminawa	good	ʂala	ʃala	ʃ a l a		498
3800	Kashinawa_P	good	pɨ	pɨ	p ɨ		500
3801	Kashinawa_B	good	pi	pi	p i		500
3802	Araona	good	jaidya	jaidya	j a i d j a		506
182	Matses	grass	wasin	wasin	w a s i n		508
183	Matis	grass	wesin	wesin	w e s i n		508
184	Marubo	grass	wasi	wasi	w a s i		508
185	Shipibo_Konibo	grass	wasi	wasi	w a s i		508
186	Kapanawa	grass	wasi	wasi	w a s i		508
187	Shanenawa	grass	wasi	wasi	w a s i		508
188	Iskonawa	grass	wãsi	wãsi	w ã s i		508
189	Chakobo	grass	wasi	wasi	w a s i		508
190	Pakawara	grass	tsiki	tsiki	ts i k i		510
191	Kakataibo	grass	ʂuβi	ʂuβi	ʂ u β i		512
192	Kaxarari	grass	wasai	wasai	w a s a i		508
193	Mastanawa	grass	ɸasi	ɸasi	ɸ a s i		508
194	Chaninawa	grass	ɸasi	ɸasi	ɸ a s i		508
195	Sharanawa	grass	ɸasi	ɸasi	ɸ a s i		508
196	Amawaka	grass	wasi	wasi	w a s i		508
197	Nawa	grass	ɸasi	ɸasi	ɸ a s i		508
198	Marinawa	grass	ʧaka	ʧaka	tʃ a k a		511
199	Yaminawa	grass	ɸasi	ɸasi	ɸ a s i		508
200	Kashinawa_P	grass	asi	asi	a s i		508
201	Araona	grass	notsa	notsa	n o ts a		481
3701	Matses	green [color]	umu	umu	u m u		517
3702	Matis	green [color]	ɨmu	ɨmu	ɨ m u		517
3703	Marubo	green [color]	ʂanɨ	ʂanɨ	ʂ a n ɨ		526
3704	Katukina	green [color]	shau	shau	ʃ a u		530
3705	Shipibo_Konibo	green [color]	yankun	yankun	j a n k u n		518
3706	Kapanawa	green [color]	yankun	yankun	j a n k u n		518
3707	Shanenawa	green [color]	ʂu	ʂu	ʂ u		530
3708	Yawanawa	green [color]	ʂuku	ʂuku	ʂ u k u		530
3709	Nukini	green [color]	huku	huku	h u k u		530
3710	Poyanawa	green [color]	ikamba	ikamba	i k a m b a		524
3711	Iskonawa	green [color]	ho	ho	h o		530
3712	Chakobo	green [color]	niaβa	niaβa	n i a β a		516
3713	Kakataibo	green [color]	kurua	ʂu	ʂ u		519
3714	Kaxarari	green [color]	yara	yara	j a r a		527
3715	Mastanawa	green [color]	ʂu	ʂu	ʂ u		530
3716	Chaninawa	green [color]	ʂu	ʂu	ʂ u		530
3717	Sharanawa	green [color]	ʂu	ʂu	ʂ u		530
3718	Amawaka	green [color]	nawa	nawa	n a w a		492
3719	Nawa	green [color]	tuna	tuna	t u n a		525
3720	Marinawa	green [color]	ʂu	ʂu	ʂ u		530
3721	Yaminawa	green [color]	paʂa	paʂa	p a ʂ a		522
3722	Yaminawa	green [color]	ʂu	ʂu	ʂ u		530
3723	Kashinawa_P	green [color]	nankɨ	nankɨ	n a n k ɨ		528
3724	Kashinawa_B	green [color]	huʂiama	huʂiama	h u ʂ i a m a		529
3725	Araona	green [color]	asawalili	asawalili	a s a w a l i l i		520
3726	Araona	green [color]	zowiwi	zowiwi	z o w i w i		521
960	Matses	guts	puku	puku	p u k u		534
961	Matis	guts	puku	puku	p u k u		534
962	Marubo	guts	puku	puku	p u k u		534
963	Katukina	guts	puku	puku	p u k u		534
964	Shipibo_Konibo	guts	puku	puku	p u k u		534
965	Kapanawa	guts	puku	puku	p u k u		534
966	Shanenawa	guts	puku	puku	p u k u		534
967	Yawanawa	guts	puku	puku	p u k u		534
968	Nukini	guts	puku	puku	p u k u		534
969	Poyanawa	guts	βɨtɨh	βɨtɨh	β ɨ t ɨ h		536
970	Iskonawa	guts	puku	puku	p u k u		534
971	Chakobo	guts	puku	puku	p u k u		534
972	Kakataibo	guts	puku	puku	p u k u		534
973	Mastanawa	guts	puʔu	puʔu	p u ʔ u		534
974	Chaninawa	guts	puku	puku	p u k u		534
975	Sharanawa	guts	puku	puku	p u k u		534
976	Amawaka	guts	puku	puku	p u k u		534
977	Nawa	guts	puku	puku	p u k u		534
978	Marinawa	guts	puku	puku	p u k u		534
979	Yaminawa	guts	puʔu	puʔu	p u ʔ u		534
980	Kashinawa_P	guts	puku	puku	p u k u		534
981	Araona	guts	e-c̷ama	ec̷ama	e tʃ a m a		535
488	Matses	hair	βu	βu	m a + n ë d a i d		539
489	Matis	hair	ʂakkete	ʂakkete	ʂ a k + k e + t e		543
490	Marubo	hair	βu	βu	β u		539
491	Katukina	hair	βuu	βuu	β u		539
492	Kanamari	hair	βuu	βuu	β u		539
493	Shipibo_Konibo	hair	βu	βu	β u		539
494	Kapanawa	hair	βu	βu	β u		539
495	Shanenawa	hair	ɸu	ɸu	ɸ u		539
496	Yawanawa	hair	βu	βu	β u		539
497	Nukini	hair	βu	βu	β u		539
498	Poyanawa	hair	βu	βu	β u		539
499	Iskonawa	hair	βu	βu	β u		539
500	Chakobo	hair	βu	βu	β u		539
501	Pakawara	hair	wuu	wuu	w uː		539
502	Kakataibo	hair	βu	βu	β u		539
503	Kaxarari	hair	wɨʂkatʃani	wɨʂkatʃani	w u + ʂ k a + tʃ a n i		542
504	Mastanawa	hair	fuʔu	fuʔu	f u ʔ u		539
505	Chaninawa	hair	ɸu	ɸu	ɸ u		539
506	Sharanawa	hair	ɸu	ɸu	ɸ u		539
507	Amawaka	hair	βu	βu	β u		539
508	Nawa	hair	ɸuʔu	ɸuʔu	ɸ u ʔ u		539
509	Marinawa	hair	ɸuʔu	ɸuʔu	ɸ u ʔ u		539
510	Yaminawa	hair	hu	hu	ɸ u		539
511	Kashinawa_P	hair	βu	βu	β u		539
512	Kashinawa_B	hair	βu	βu	β u		539
513	Araona	hair	šoa-iɲa	šoaiɲa	ʃ o a i ɲ a		494
882	Matses	hand	mɨdante	mɨdante	m ɨ + d a n t e		546
883	Matis	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
884	Marubo	hand	mɨβi	mɨβi	m ɨ + β i		546
885	Katukina	hand	meβi	meβi	m e + β i		546
886	Kanamari	hand	mwɨβi	mɨβi	mʷ ɨ + β i		546
887	Shipibo_Konibo	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
888	Kapanawa	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
889	Shanenawa	hand	mɨɸi	mɨɸi	m ɨ + ɸ i		546
890	Yawanawa	hand	mɨhi	mɨhi	m ɨ + h i		546
891	Nukini	hand	mɨwi	mɨwi	m ɨ + w i		546
892	Poyanawa	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
893	Iskonawa	hand	mɨˀβi	mɨˀβi	m ɨ + β i		546
894	Chakobo	hand	mɨkɨnɨ	mɨkɨnɨ	m ɨ + k ɨ n ɨ		546
895	Pakawara	hand	mɨkɨna	mɨkɨna	m ɨ + k ɨ n a		546
896	Kakataibo	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
897	Kaxarari	hand	mɨkɨlɨ	mɨkɨlɨ	m ɨ + k ɨ l ɨ		546
898	Mastanawa	hand	bɨɸi	bɨɸi	b ɨ + ɸ i		546
899	Chaninawa	hand	βɨkɨ	βɨkɨ	β ɨ + k ɨ		546
900	Chaninawa	hand	βɨɸi	βɨɸi	β ɨ + ɸ i		546
901	Sharanawa	hand	bɨɸi	bɨɸi	b ɨ + ɸ i		546
902	Amawaka	hand	mɨkɨn	mɨkɨn	m ɨ + k ɨ n		546
903	Nawa	hand	bɨkɨ	bɨkɨ	b ɨ + k ɨ		546
904	Marinawa	hand	bɨkɨ	bɨkɨ	b ɨ + k ɨ		546
905	Yaminawa	hand	mɨʔɨ	mɨʔɨ	m ɨ + ʔ ɨ		546
906	Kashinawa_P	hand	mɨki	mɨki	m ɨ + k i		546
907	Kashinawa_B	hand	mɨ̃kɨ̃	mɨ̃kɨ̃	m ɨ̃ + k ɨ̃		546
908	Araona	hand	e-me	eme	e m e		546
1972	Matses	he	a	a	a		548
1973	Matis	he	a	a	a		548
1974	Marubo	he	a	a	a		548
1975	Katukina	he	ha	ha	h a		548
1976	Shipibo_Konibo	he	ha	ha	h a		548
1977	Kapanawa	he	ha	ha	h a		548
1978	Shanenawa	he	a	a	a		548
1979	Yawanawa	he	a	a	a		548
1980	Poyanawa	he	a	a	a		548
1981	Iskonawa	he	a	a	a		548
1982	Chakobo	he	ha	ha	h a		548
1983	Pakawara	he	ha	ha	h a		548
1984	Kakataibo	he	a	a	a		548
1985	Kaxarari	he	wautʃitɨ	ua	u a		495
1986	Mastanawa	he	ua	ua	u a		495
1987	Chaninawa	he	na	na	n a		548
1988	Sharanawa	he	ua	ua	u a		495
1989	Amawaka	he	ua	ua	u a		495
1990	Nawa	he	da	da	d a		549
1991	Marinawa	he	uwa	uwa	u w a		495
1992	Yaminawa	he	da	da	d a		549
1993	Kashinawa_P	he	ha	ha	h a		548
1994	Kashinawa_B	he	ha	ha	h a		548
1995	Araona	he	da	da	d a		549
1996	Araona	he	wada	wada	w a d a		495
1997	Araona	he	joda	joda	j o d a		551
1998	Araona	he	joma	joma	j o m a		551
461	Matses	head	mapi	mapi	m a + p i		554
462	Matis	head	maʂo	maʂo	m a + ʂ o		554
463	Marubo	head	mapu	mapu	m a + p u		554
464	Katukina	head	mapu	mapu	m a + p u		554
465	Kanamari	head	mapu	mapu	m a + p u		554
466	Shipibo_Konibo	head	mapu	mapu	m a + p u		554
467	Kapanawa	head	mapu	mapu	m a + p u		554
468	Shanenawa	head	mapu	mapu	m a + p u		554
469	Yawanawa	head	mapu	mapu	m a + p u		554
470	Nukini	head	mapu	mapu	m a + p u		554
471	Poyanawa	head	βuhka	βuhka	β u + h k a		555
472	Iskonawa	head	βuhka	βuhka	β u + h k a		555
473	Chakobo	head	mapu	mapu	m a + p u		554
474	Pakawara	head	mapu	mapu	m a + p u		554
475	Kakataibo	head	maʂka	maʂka	m a + ʂ k a		555
476	Kaxarari	head	wɨʂkata	wɨʂkata	w u + ʂ k a + t a		555
477	Mastanawa	head	bapu	bapu	b a + p u		554
478	Chaninawa	head	βasakati	βasakati	β a + s a k a + t i		555
479	Sharanawa	head	bapu	bapu	b a + p u		554
480	Amawaka	head	mapu	mapu	m a + p u		554
481	Nawa	head	ba:pu	ba:pu	b aː + p u		554
482	Marinawa	head	bapu	bapu	b a + p u		554
483	Marinawa	head	ɸuʂka	ɸuʂka	ɸ u + ʂ k a		555
484	Yaminawa	head	bapu	bapu	b a + p u		554
485	Kashinawa_P	head	βuʂka	βuʂka	β u + ʂ k a		555
486	Kashinawa_B	head	βuʂka	βuʂka	β u + ʂ k a		555
487	Araona	head	e-šoa	ešoa	e ʃ o a		556
2997	Matses	hear	tantia	tantia	t a n t i + a		562
2998	Matis	hear	kuak	kuak	k u a k		563
2999	Marubo	hear	ninkan	ninkan	n i n k a n		559
3000	Katukina	hear	ninka	ninka	n i n k a		559
3001	Shipibo_Konibo	hear	ninkat	ninkat	n i n k a t		559
3002	Kapanawa	hear	ninka	ninka	n i n k a		559
3003	Shanenawa	hear	ninka	ninka	n i n k a		559
3004	Yawanawa	hear	nika	nika	n i k a		559
3005	Poyanawa	hear	tapi	tapi	t a p i		560
3006	Iskonawa	hear	nika	nika	n i k a		559
3007	Chakobo	hear	nika	nika	n i k a		559
3008	Kakataibo	hear	kwa	kwa	kʷ a		559
3009	Kaxarari	hear	ka	ka	k a		559
3010	Mastanawa	hear	djaj	dia	d i a		559
3011	Chaninawa	hear	dikaj	dikaj	d i k a dʒ		559
3012	Sharanawa	hear	dikai	dika	d i k a		559
3013	Amawaka	hear	ninkaj	ninkaj	n i n k a dʒ		559
3014	Nawa	hear	dika	dika	d i k a		559
3015	Marinawa	hear	dika	dika	d i k a		559
3016	Yaminawa	hear	diʔa	diʔa	d i ʔ a		559
3017	Kashinawa_P	hear	ninka	ninka	n i n k a		559
3018	Kashinawa_B	hear	nĩkai	nĩka	n ĩ k a		559
3019	Araona	hear	tsabaja	tsabaja	ts a b a j a		560
935	Matses	heart	winte	uinte	u i n + t e		566
936	Matis	heart	winte	uinte	u i n + t e		566
937	Marubo	heart	winti	winti	w i n + t i		566
938	Katukina	heart	winti	winti	w i n + t i		566
939	Shipibo_Konibo	heart	huinti	huinti	h u i n + t i		566
940	Kapanawa	heart	hwinti	hwinti	h u i n + t i		566
941	Shanenawa	heart	uinti	uinti	u i n + t i		566
942	Yawanawa	heart	ũĩti	ũĩti	ũ ĩ + t i		566
943	Nukini	heart	kɨpĩ	kɨpĩ	k ɨ p ĩ		569
944	Poyanawa	heart	ũĩti	ũĩti	ũ ĩ + t i		566
945	Iskonawa	heart	ũĩti	ũĩti	ũ ĩ + t i		566
946	Chakobo	heart	huiti	huiti	h u i + t i		566
947	Pakawara	heart	huwiti	huwiti	h u w i + t i		566
948	Kakataibo	heart	nuitu	nuitu	n u i + t u		566
949	Kaxarari	heart	hɨya	hɨya	h ɨ j a		570
950	Mastanawa	heart	uɨnti	uɨnti	u ɨ n + t i		566
951	Chaninawa	heart	uĩti	uĩti	u ĩ + t i		566
952	Sharanawa	heart	ũĩti	ũĩti	ũ ĩ + t i		566
