ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID	AUTOSCAID
2682	Amawaka	fight	mɨʔɨna	mɨʔɨna	m ɨ ʔ ɨ n a		246	177
2683	Nawa	fight	ʂɨtɨnaj	ʂɨtɨnaj	ʂ ɨ t ɨ n a		246	177
2684	Marinawa	fight	ʂɨtɨna	ʂɨtɨna	ʂ ɨ t ɨ n a		246	177
2685	Yaminawa	fight	ʂɨtɨna	ʂɨtɨna	ʂ ɨ t ɨ n a		246	177
2686	Kashinawa_P	fight	dɨtja	dɨti	d ɨ t i		246	177
2687	Kashinawa_P	fight	ʂutu	ʂɨtɨ	ʂ ɨ t ɨ		246	177
1459	Matses	fire	kuɨte	kuɨte	k u ɨ t e		252	181
1460	Matis	fire	mɨʂte	mɨʂte	m ɨ ʂ t e		251	180
1461	Marubo	fire	tʃi	tʃi	tʃ i		249	178
1462	Katukina	fire	tii	tii	t iː		249	178
1463	Kanamari	fire	tʃi?i	tʃiʔi	tʃ i ʔ i		249	178
1464	Shipibo_Konibo	fire	tʃi	tʃi	tʃ i		249	178
1465	Kapanawa	fire	tʃii	tʃii	tʃ iː		249	178
1466	Arara	fire	tʃi	tʃi	tʃ i		249	178
1467	Shanenawa	fire	tʃi	tʃi	tʃ i		249	178
1468	Yawanawa	fire	tʃi	tʃi	tʃ i		249	178
1469	Nukini	fire	huspiti	huspiti	h u s p i t i		253	182
1470	Nukini	fire	iʃi	iʃi	i ʃ i		249	178
1471	Poyanawa	fire	ikutimba	ikutimba	i k u t i m b a		254	183
1472	Iskonawa	fire	hɨna	hɨna	h ɨ n a		250	179
1473	Chakobo	fire	tʃi?i	tʃiʔi	tʃ i ʔ i		249	178
1474	Pakawara	fire	tʃi?i	tʃiʔi	tʃ i ʔ i		249	178
1475	Kakataibo	fire	tsi	tsi	ts i		249	178
1476	Kaxarari	fire	tʃi	tʃi	tʃ i		249	178
1477	Mastanawa	fire	ʧi	ʧi	tʃ i		249	178
1478	Chaninawa	fire	t͡ʃi:	t͡ʃi:	tʃ iː		249	178
1479	Sharanawa	fire	t͡ʃi	t͡ʃi	tʃ i		249	178
1480	Amawaka	fire	t͡ʃiʔi	t͡ʃiʔi	tʃ i ʔ i		249	178
1481	Nawa	fire	ʧi	ʧi	tʃ i		249	178
1482	Marinawa	fire	ʧi	ʧi	tʃ i		249	178
1483	Yaminawa	fire	ʧi	ʧi	tʃ i		249	178
1484	Kashinawa_P	fire	ʧi	ʧi	tʃ i		249	178
1485	Kashinawa_B	fire	tʃi	tʃi	tʃ i		249	178
100	Matses	fish [noun]	nuɨkkid	nuɨkkid	n u ɨ k i d		260	188
101	Matis	fish [noun]	tʃapa	tʃapa	tʃ a p a		255	184
102	Marubo	fish [noun]	japa	japa	j a p a		255	184
103	Katukina	fish [noun]	tsatsa	tsatsa	ts a ts a		257	185
104	Shipibo_Konibo	fish [noun]	yapa	yapa	j a p a		255	184
105	Kapanawa	fish [noun]	yapa	yapa	j a p a		255	184
106	Arara	fish [noun]	jumba	jumba	j u m b a		255	184
107	Shanenawa	fish [noun]	iʂkin	iʂkin	i ʂ k i n		263	191
108	Yawanawa	fish [noun]	juma	juma	j u m a		255	184
109	Nukini	fish [noun]	naʂtu	naʂtu	n a ʂ t u		261	189
110	Nukini	fish [noun]	kawa	kawa	k a w a		265	192
111	Poyanawa	fish [noun]	jumã	jumã	j u m ã		255	184
112	Iskonawa	fish [noun]	juma	juma	j u m a		255	184
113	Chakobo	fish [noun]	yapa	yapa	j a p a		255	184
114	Pakawara	fish [noun]	saninu	saninu	s a n i n u		262	190
115	Kakataibo	fish [noun]	ɲapa	tsatsa	ts a ts a		257	185
116	Kaxarari	fish [noun]	mailu	mailu	m a i l u		259	187
117	Mastanawa	fish [noun]	ʃima	ʃima	ʃ i m a		256	184
118	Chaninawa	fish [noun]	ʃima	ʃima	ʃ i m a		256	184
119	Chaninawa	fish [noun]	βaka	βaka	β a k a		258	186
120	Sharanawa	fish [noun]	ʃima	ʃima	ʃ i m a		256	184
121	Amawaka	fish [noun]	jumba	jumba	j u ⁿb a		255	184
122	Nawa	fish [noun]	ʃima	ʃima	ʃ i m a		256	184
123	Marinawa	fish [noun]	ʃima	ʃima	ʃ i m a		256	184
124	Yaminawa	fish [noun]	huwɨ	huwɨ	h u w ɨ		264	192
125	Kashinawa_P	fish [noun]	βaka	βaka	β a k a		258	186
126	Kashinawa_B	fish [noun]	βaka	βaka	β a k a		258	186
2217	Matses	float	nuad	nuad	n u a d		268	193
2218	Matis	float	nuad	nuad	n u a d		268	193
2219	Marubo	float	nunu	nunu	n u n u		266	194
2220	Shipibo_Konibo	float	tuʂβa	tuʂβa	t u ʂ β a		270	195
2221	Kapanawa	float	nunu	nunu	n u n u		266	194
2222	Kapanawa	float	tuʂβa	tuʂβa	t u ʂ β a		270	195
2223	Iskonawa	float	nunu	nunu	n u n u		266	194
2224	Chakobo	float	nunu	nunu	n u n u		266	194
2225	Kakataibo	float	βɨspo	βɨspo	β ɨ s p o		267	195
2226	Mastanawa	float	dudua	dudua	d u d u a		266	193
2227	Chaninawa	float	dudu	dudu	d u d u		266	193
2228	Sharanawa	float	dudu	dudu	d u d u		266	193
2229	Amawaka	float	nundu	nundu	n u ⁿd u		266	193
2230	Nawa	float	tupi	tupi	t u p i		269	193
2231	Marinawa	float	dunduj	dunduj	d u ⁿd u j		266	193
2232	Yaminawa	float	dudua	dudua	d u d u a		266	193
2233	Kashinawa_P	float	nunwa	nunwa	n u n w a		266	194
2325	Matses	flow	tʂɨwɨd	tʂɨwɨd	ʈʂ ɨ w ɨ d		278	200
2326	Matis	flow	ʂuke	ʂuke	ʂ u k e		277	196
2327	Marubo	flow	aβa	aβa	a β a		275	197
2328	Shipibo_Konibo	flow	iʃtua	iʃtua	i ʃ t u a		280	201
2329	Kapanawa	flow	ɨnɨ βaii	ɨnɨ aβa	ɨ n ɨ a β a		275	197
2330	Iskonawa	flow	hu hu ik	hu hu ik	h u h u i k		274	198
2331	Chakobo	flow	wawa	wawa	w a w a		272	197
2332	Kakataibo	flow	ʔiβu	aβa	a β a		275	197
2333	Mastanawa	flow	sibɨj	sinbɨ	s i n b ɨ		276	199
2334	Chaninawa	flow	kuʃi	kuʃi	k u ʃ i		273	196
2335	Sharanawa	flow	ɸu	ɸu	ɸ u		279	197
2336	Amawaka	flow	ka	ka	k a		271	196
2337	Nawa	flow	pukɨ	pukɨ	p u k ɨ		277	196
2338	Marinawa	flow	kuʃi	kuʃi	k u ʃ i		273	196
2339	Marinawa	flow	sinbɨ	sinbɨ	s i n b ɨ		276	199
2340	Yaminawa	flow	kuʃi	kuʃi	k u ʃ i		273	196
2341	Kashinawa_P	flow	kuʃi	kuʃi	k u ʃ i		273	196
1135	Matses	flower	βakuɨ	βakuɨ	β a k u ɨ		284	202
1136	Matis	flower	wa	ua	u a		282	203
1137	Marubo	flower	wa	wa	w a		283	203
1138	Katukina	flower	hawa	hawa	h a w a		283	203
1139	Shipibo_Konibo	flower	hua	hua	h u a		282	203
1140	Kapanawa	flower	hua	hua	h u a		282	203
1141	Arara	flower	ua	ua	u a		282	203
1142	Shanenawa	flower	nina	nina	n i n a		286	204
1143	Yawanawa	flower	ua	ua	u a		282	203
1144	Poyanawa	flower	tʃuku	tʃuku	tʃ u k u		285	202
1145	Iskonawa	flower	ua	ua	u a		282	203
1146	Chakobo	flower	hua	hua	h u a		282	203
1147	Pakawara	flower	hua	hua	h u a		282	203
1148	Kakataibo	flower	rua	rua	u a		282	203
1149	Kaxarari	flower	hihua	hihua	h i h u a		282	203
1150	Mastanawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		281	202
1151	Chaninawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		281	202
1152	Sharanawa	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		281	202
1153	Amawaka	flower	t͡ʃaɾu	t͡ʃaɾu	tʃ a ɾ u		281	202
1154	Nawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		281	202
1155	Marinawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		281	202
1156	Yaminawa	flower	ʧaɾu	ʧaɾu	tʃ a ɾ u		281	202
1157	Kashinawa_P	flower	hwa	hwa	h u a		282	203
1158	Kashinawa_B	flower	hua	hua	h u a		282	203
2278	Matses	fly [verb]	kapu	kapu	k a p u		293	211
2279	Matis	fly [verb]	kapo	kapo	k a p o		293	211
2280	Marubo	fly [verb]	nuja	nuja	n u j a		289	207
2281	Shipibo_Konibo	fly [verb]	nuya	nuya	n u j a		289	207
2282	Kapanawa	fly [verb]	nuya	nuya	n u j a		289	207
2283	Arara	fly [verb]	pɨraĩ	pɨraĩ	p ɨ r a ĩ		288	206
2284	Shanenawa	fly [verb]	nuja	nuja	n u j a		289	207
2285	Yawanawa	fly [verb]	nuja	nuja	n u j a		289	207
2286	Poyanawa	fly [verb]	jũnda	jũnda	j ũ ⁿd a		290	208
2287	Iskonawa	fly [verb]	juna	juna	j u n a		290	208
2288	Chakobo	fly [verb]	nuya	nuya	n u j a		289	207
2289	Kakataibo	fly [verb]	noan	noan	n o a n		291	209
2290	Kaxarari	fly [verb]	hatʃakikɨ	hatʃakikɨ	h a tʃ a k i k ɨ		292	210
2291	Mastanawa	fly [verb]	duʔujaj	duʔujai	d u ʔ u j a i		289	207
2292	Chaninawa	fly [verb]	duja	duja	d u j a		289	207
2293	Sharanawa	fly [verb]	duja	duja	d u j a		289	207
2294	Amawaka	fly [verb]	maka	maka	m a k a		287	205
2295	Nawa	fly [verb]	duja	duja	d u j a		289	207
2296	Marinawa	fly [verb]	duja	duja	d u j a		289	207
2297	Yaminawa	fly [verb]	jujaj	jujaj	j u j a j		289	207
2298	Kashinawa_P	fly [verb]	nuja	nuja	n u j a		289	207
2299	Kashinawa_B	fly [verb]	nuja	nuja	n u j a		289	207
1638	Matses	fog	senadɨn kuɨte	senadɨn kuɨte	s e n a d ɨ n k u ɨ t e		302	215
1639	Matis	fog	nɨʂo βɨjunwate	nɨʂo βɨjunwate	n ɨ ʂ o β ɨ j u n w a t e		301	218
1640	Marubo	fog	wiʃnan	wiʃnan	w i ʃ n a n		299	216
1641	Katukina	fog	ixinna	ixinna	i x/ʂ i n n a		299	216
1642	Shipibo_Konibo	fog	niʃβi	niʃβi	n i ʂ β i		294	212
1643	Kapanawa	fog	nɨtɨ kuru	nɨtɨ kuru	n ɨ t ɨ k u r u		296	215
1644	Arara	fog	batsiki	batsiki	b a ts i k i		295	213
1645	Shanenawa	fog	kuĩ	kuĩ	k u ĩ		297	214
1646	Iskonawa	fog	kuin	kuin	k u i n		297	214
1647	Iskonawa	fog	bishai	bishai	b i ʃ a i		303	213
1648	Chakobo	fog	kuru	kuru	k u r u		296	214
1649	Kakataibo	fog	kwenkuru	kwenkuru	kʷ e n k u r u		296	215
1650	Kaxarari	fog	waikuʂuʂi	waikuʂuʂi	w a i k u ʂ u ʂ i		300	217
1651	Mastanawa	fog	kũĩ	kũĩ	k ũ ĩ		297	214
1652	Chaninawa	fog	diʃɸi	diʃɸi	d i ʂ ɸ i		294	212
1653	Sharanawa	fog	diɸĩ	diɸĩ	d i ɸ ĩ		294	212
1654	Amawaka	fog	nɨçbi	nɨçbi	n ɨ ç b i		294	212
1655	Nawa	fog	kuwĩ	kuwĩ	k u w ĩ		297	214
1656	Marinawa	fog	diʃɸu	diʃɸu	d i ʃ ɸ u		294	212
1657	Yaminawa	fog	kũwi	kũwi	k ũ w i		297	214
1658	Kashinawa_P	fog	asnɨ	asnɨ	a s n ɨ		298	216
1659	Kashinawa_B	fog	βahnɨ	βahnɨ	β a h n ɨ		298	216
822	Matses	foot	taɨ	taɨ	t a ɨ		304	219
823	Matis	foot	taɨ	taɨ	t a ɨ		304	219
824	Marubo	foot	taɨ	taɨ	t a ɨ		304	219
825	Katukina	foot	tae	tae	t a e		304	219
826	Kanamari	foot	ta?ɨ	taʔɨ	t a ʔ ɨ		304	219
827	Shipibo_Konibo	foot	taɨ	taɨ	t a ɨ		304	219
828	Kapanawa	foot	taɨ	taɨ	t a ɨ		304	219
829	Arara	foot	taɨ	taɨ	t a ɨ		304	219
830	Shanenawa	foot	taɨ	taɨ	t a ɨ		304	219
831	Yawanawa	foot	taɨ	taɨ	t a ɨ		304	219
832	Nukini	foot	taɨ	taɨ	t a ɨ		304	219
833	Poyanawa	foot	taɨ	taɨ	t a ɨ		304	219
834	Iskonawa	foot	taɨ	taɨ	t a ɨ		304	219
835	Chakobo	foot	ta?ɨ	taʔɨ	t a ʔ ɨ		304	219
836	Pakawara	foot	ta?ɨ	taʔɨ	t a ʔ ɨ		304	219
837	Kakataibo	foot	taɨ	taɨ	t a ɨ		304	219
838	Kaxarari	foot	taɨ	taɨ	t a ɨ		304	219
839	Mastanawa	foot	taɨ	taɨ	t a ɨ		304	219
840	Chaninawa	foot	taɨ	taɨ	t a ɨ		304	219
841	Sharanawa	foot	taɨ	taɨ	t a ɨ		304	219
842	Amawaka	foot	taʔɨ	taʔɨ	t a ʔ ɨ		304	219
843	Nawa	foot	taɨ	taɨ	t a ɨ		304	219
844	Marinawa	foot	uʂpaɾu	uʂpaɾu	u ʂ p a ɾ u		305	220
845	Yaminawa	foot	taɨ	taɨ	t a ɨ		304	219
846	Kashinawa_P	foot	taɨ	taɨ	t a ɨ		304	219
847	Kashinawa_B	foot	taɨ	taɨ	t a ɨ		304	219
1159	Matses	fruit (berry)	βakuɨ	βakuɨ	β a k u ɨ		308	223
1160	Matis	fruit (berry)	tʃitʃo	tʃitʃo	tʃ i tʃ o		307	222
1161	Marubo	fruit (berry)	βimi	βimi	β i m i		306	221
1162	Katukina	fruit (berry)	βimi	βimi	β i m i		306	221
1163	Kanamari	fruit (berry)	βimi	βimi	β i m i		306	221
1164	Shipibo_Konibo	fruit (berry)	βimi	βimi	β i m i		306	221
1165	Kapanawa	fruit (berry)	βimi	βimi	β i m i		306	221
1166	Arara	fruit (berry)	βimbi	βimbi	β i m b i		306	221
1167	Shanenawa	fruit (berry)	fimi	fimi	f i m i		306	221
1168	Yawanawa	fruit (berry)	βimi	βimi	β i m i		306	221
1169	Nukini	fruit (berry)	βimĩ	βimĩ	β i m ĩ		306	221
1170	Poyanawa	fruit (berry)	ũxi	ũxi	ũ x/ʂ i		309	224
1171	Iskonawa	fruit (berry)	βimi	βimi	β i m i		306	221
1172	Chakobo	fruit (berry)	βimi	βimi	β i m i		306	221
1173	Pakawara	fruit (berry)	βimi	βimi	β i m i		306	221
1174	Kakataibo	fruit (berry)	βimi	βimi	β i m i		306	221
1175	Kaxarari	fruit (berry)	wimi	wimi	w i m i		306	221
1176	Mastanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		306	221
1177	Chaninawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		306	221
1178	Sharanawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		306	221
1179	Amawaka	fruit (berry)	wimbi	wimbi	w i m b i		306	221
1180	Nawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		306	221
1181	Marinawa	fruit (berry)	ɸinbi	ɸinbi	ɸ i n b i		306	221
1182	Yaminawa	fruit (berry)	ɸibi	ɸibi	ɸ i b i		306	221
1183	Kashinawa_P	fruit (berry)	βimi	βimi	β i m i		306	221
1184	Kashinawa_B	fruit (berry)	βimi	βimi	β i m i		306	221
2409	Matses	give	mene	mene	m e n e		311	225
2410	Matis	give	mene	mene	m e n e		311	225
2411	Marubo	give	ina	ina	i n a		310	225
2412	Katukina	give	ina	ina	i n a		310	225
2413	Shipibo_Konibo	give	mɨni	mɨni	m ɨ n i		311	225
2414	Kapanawa	give	inan	inan	i n a n		310	225
2415	Shanenawa	give	inan	inan	i n a n		310	225
2416	Yawanawa	give	inan	inan	i n a n		310	225
2417	Poyanawa	give	inan	inan	i n a n		310	225
2418	Iskonawa	give	mini	mini	m i n i		311	225
2419	Iskonawa	give	inan	inan	i n a n		310	225
2420	Chakobo	give	mɨ	mɨ	m ɨ		311	225
2421	Kakataibo	give	ʔinan	ʔinan	ʔ i n a n		310	225
2422	Mastanawa	give	ina	ina	i n a		310	225
2423	Chaninawa	give	inan	inan	i n a n		310	225
2424	Sharanawa	give	inan	inan	i n a n		310	225
2425	Amawaka	give	ina	inan	i n a n		310	225
2426	Nawa	give	ina	ina	i n a		310	225
2427	Marinawa	give	ina	ina	i n a		310	225
2428	Yaminawa	give	biʔdi	bidi	b i d i		311	226
2429	Kashinawa_P	give	inan	inan	i n a n		310	225
3681	Matses	good	βɨda	βɨda	β ɨ d a		317	231
3682	Matis	good	βɨda	βɨda	β ɨ d a		317	231
3683	Marubo	good	rua	rua	r u a		314	227
3684	Katukina	good	rua-pa	ruapa	r u a p a		314	229
3685	Shipibo_Konibo	good	hakun	hakun	h a k u n		318	232
3686	Kapanawa	good	siri	siri	s i r i		312	227
3687	Kapanawa	good	hakun	hakun	h a k u n		318	232
3688	Arara	good	ʃara	ʃara	ʃ a r a		312	227
3689	Shanenawa	good	ʂaraka	ʃaraka	ʃ a r a k a		312	227
3690	Yawanawa	good	ʃara	ʃara	ʃ a r a		312	227
3691	Nukini	good	iru	iru	i r u		314	227
3692	Poyanawa	good	iru	iru	i r u		314	227
3693	Iskonawa	good	iru	iru	i r u		314	227
3694	Chakobo	good	hia	hia	h i a		313	228
3695	Kakataibo	good	upi	upi	u p i		315	229
3696	Kaxarari	good	tsuwi	tsuwi	ts u w i		316	230
3697	Mastanawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a		312	227
3698	Chaninawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		312	227
3699	Sharanawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		312	227
3700	Amawaka	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		312	227
3701	Nawa	good	ʃaɾa	ʃaɾa	ʃ a ɾ a		312	227
3702	Marinawa	good	ʂaɾa	ʃaɾa	ʂ a ɾ a		312	227
3703	Yaminawa	good	ʂaɾa	ʃaɾa	ʃ a ɾ a		312	227
3704	Yaminawa	good	ʂala	ʃala	ʃ a l a		312	227
3705	Kashinawa_P	good	pɨ	pɨ	p ɨ		315	229
3706	Kashinawa_B	good	pi	pi	p i		315	229
177	Matses	grass	wasin	wasin	w a s i n		319	233
178	Matis	grass	wesin	wesin	w e s i n		319	233
179	Marubo	grass	wasi	wasi	w a s i		319	233
180	Shipibo_Konibo	grass	wasi	wasi	w a s i		319	233
181	Kapanawa	grass	wasi	wasi	w a s i		319	233
182	Shanenawa	grass	wasi	wasi	w a s i		319	233
183	Iskonawa	grass	wãsi	wãsi	w ã s i		319	233
184	Chakobo	grass	wasi	wasi	w a s i		319	233
185	Pakawara	grass	tsiki	tsiki	ts i k i		322	235
186	Kakataibo	grass	ʂuβi	ʂuβi	ʂ u β i		320	234
187	Kaxarari	grass	wasai	wasai	w a s a i		319	233
188	Mastanawa	grass	ɸasi	ɸasi	ɸ a s i		319	233
189	Chaninawa	grass	ɸasi	ɸasi	ɸ a s i		319	233
190	Sharanawa	grass	ɸasi	ɸasi	ɸ a s i		319	233
191	Amawaka	grass	wasi	wasi	w a s i		319	233
192	Nawa	grass	ɸasi	ɸasi	ɸ a s i		319	233
193	Marinawa	grass	ʧaka	ʧaka	tʃ a k a		321	235
194	Yaminawa	grass	ɸasi	ɸasi	ɸ a s i		319	233
195	Kashinawa_P	grass	asi	asi	a s i		319	233
3607	Matses	green [color]	umu	umu	u m u		331	241
3608	Matis	green [color]	ɨmu	ɨmu	ɨ m u		331	241
3609	Marubo	green [color]	ʂanɨ	ʂanɨ	ʂ a n ɨ		325	237
3610	Katukina	green [color]	shau	shau	ʃ a u		325	237
3611	Shipibo_Konibo	green [color]	yankun	yankun	j a n k u n		327	238
3612	Kapanawa	green [color]	yankun	yankun	j a n k u n		327	238
3613	Arara	green [color]	ʃininipa	ʃininipa	ʃ i n i n i p a		324	237
3614	Shanenawa	green [color]	ʂu	ʂu	ʂ u		325	237
3615	Yawanawa	green [color]	ʂuku	ʂuku	ʂ u k u		325	237
3616	Nukini	green [color]	huku	huku	h u k u		325	237
3617	Poyanawa	green [color]	ikamba	ikamba	i k a m b a		333	242
3618	Iskonawa	green [color]	ho	ho	h o		326	237
3619	Chakobo	green [color]	niaβa	niaβa	n i a β a		323	236
3620	Kakataibo	green [color]	kurua	ʂu	ʂ u		325	237
3621	Kaxarari	green [color]	yara	yara	j a r a		330	240
3622	Mastanawa	green [color]	ʂu	ʂu	ʂ u		325	237
3623	Chaninawa	green [color]	ʂu	ʂu	ʂ u		325	237
3624	Sharanawa	green [color]	ʂu	ʂu	ʂ u		325	237
3625	Amawaka	green [color]	nawa	nawa	n a w a		323	236
3626	Nawa	green [color]	tuna	tuna	t u n a		332	237
3627	Marinawa	green [color]	ʂu	ʂu	ʂ u		325	237
3628	Yaminawa	green [color]	paʂa	paʂa	p a ʂ a		334	237
3629	Yaminawa	green [color]	ʂu	ʂu	ʂ u		325	237
3630	Kashinawa_P	green [color]	nankɨ	nankɨ	n a n k ɨ		329	238
3631	Kashinawa_B	green [color]	huʂiama	huʂiama	h u ʂ i a m a		328	239
947	Matses	guts	puku	puku	p u k u		335	243
948	Matis	guts	puku	puku	p u k u		335	243
949	Marubo	guts	puku	puku	p u k u		335	243
950	Katukina	guts	puku	puku	p u k u		335	243
951	Shipibo_Konibo	guts	puku	puku	p u k u		335	243
952	Kapanawa	guts	puku	puku	p u k u		335	243
953	Shanenawa	guts	puku	puku	p u k u		335	243
954	Yawanawa	guts	puku	puku	p u k u		335	243
955	Nukini	guts	puku	puku	p u k u		335	243
956	Poyanawa	guts	βɨtɨh	βɨtɨh	β ɨ t ɨ h		336	244
957	Iskonawa	guts	puku	puku	p u k u		335	243
958	Chakobo	guts	puku	puku	p u k u		335	243
959	Kakataibo	guts	puku	puku	p u k u		335	243
960	Mastanawa	guts	puʔu	puʔu	p u ʔ u		335	243
961	Chaninawa	guts	puku	puku	p u k u		335	243
962	Sharanawa	guts	puku	puku	p u k u		335	243
963	Amawaka	guts	puku	puku	p u k u		335	243
964	Nawa	guts	puku	puku	p u k u		335	243
965	Marinawa	guts	puku	puku	p u k u		335	243
966	Yaminawa	guts	puʔu	puʔu	p u ʔ u		335	243
967	Kashinawa_P	guts	puku	puku	p u k u		335	243
476	Matses	hair	βu	βu	m a n ë d a i d		340	248
477	Matis	hair	ʂakkete	ʂakkete	ʂ a k k e t e		339	247
478	Marubo	hair	βu	βu	β u		337	245
479	Katukina	hair	βuu	βuu	β u		337	245
480	Kanamari	hair	βuu	βuu	β u		337	245
481	Shipibo_Konibo	hair	βu	βu	β u		337	245
482	Kapanawa	hair	βu	βu	β u		337	245
483	Arara	hair	hu	hu	h/β u		337	245
484	Shanenawa	hair	ɸu	ɸu	ɸ u		337	245
485	Yawanawa	hair	βu	βu	β u		337	245
486	Nukini	hair	βu	βu	β u		337	245
487	Poyanawa	hair	βu	βu	β u		337	245
488	Iskonawa	hair	βu	βu	β u		337	245
489	Chakobo	hair	βu	βu	β u		337	245
490	Pakawara	hair	wuu	wuu	w u u		337	245
491	Kakataibo	hair	βu	βu	β u		337	245
492	Kaxarari	hair	wɨʂkatʃani	wɨʂkatʃani	w ɨ ʂ k a tʃ a n i		338	246
493	Mastanawa	hair	fuʔu	fuʔu	f u ʔ u		337	245
494	Chaninawa	hair	ɸu	ɸu	ɸ u		337	245
495	Sharanawa	hair	ɸu	ɸu	ɸ u		337	245
496	Amawaka	hair	βu	βu	β u		337	245
497	Nawa	hair	ɸuʔu	ɸuʔu	ɸ u ʔ u		337	245
498	Marinawa	hair	ɸuʔu	ɸuʔu	ɸ u ʔ u		337	245
499	Yaminawa	hair	hu	hu	ɸ u		337	245
500	Kashinawa_P	hair	βu	βu	β u		337	245
501	Kashinawa_B	hair	βu	βu	β u		337	245
869	Matses	hand	mɨdante	mɨdante	m ɨ d a n t e		343	249
870	Matis	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
871	Marubo	hand	mɨβi	mɨβi	m ɨ β i		342	249
872	Katukina	hand	meβi	meβi	m e β i		342	249
873	Kanamari	hand	mwɨβi	mɨβi	mʷ ɨ β i		342	249
874	Shipibo_Konibo	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
875	Kapanawa	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
876	Arara	hand	βɨhi	βɨhi	β ɨ h i		342	249
877	Shanenawa	hand	mɨɸi	mɨɸi	m ɨ ɸ i		342	249
878	Yawanawa	hand	mɨhi	mɨhi	m ɨ h i		342	249
879	Nukini	hand	mɨwi	mɨwi	m ɨ w i		342	249
880	Poyanawa	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
881	Iskonawa	hand	mɨˀβi	mɨˀβi	m ɨ β i		342	249
882	Chakobo	hand	mɨkɨnɨ	mɨkɨnɨ	m ɨ k ɨ n ɨ		341	249
883	Pakawara	hand	mɨkɨna	mɨkɨna	m ɨ k ɨ n a		341	249
884	Kakataibo	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
885	Kaxarari	hand	mɨkɨlɨ	mɨkɨlɨ	m ɨ k ɨ l ɨ		341	249
886	Mastanawa	hand	bɨɸi	bɨɸi	b ɨ ɸ i		342	249
887	Chaninawa	hand	βɨkɨ	βɨkɨ	β ɨ k ɨ		341	249
888	Chaninawa	hand	βɨɸi	βɨɸi	β ɨ ɸ i		342	249
889	Sharanawa	hand	bɨɸi	bɨɸi	b ɨ ɸ i		342	249
890	Amawaka	hand	mɨkɨn	mɨkɨn	m ɨ k ɨ n		341	249
891	Nawa	hand	bɨkɨ	bɨkɨ	b ɨ k ɨ		341	249
892	Marinawa	hand	bɨkɨ	bɨkɨ	b ɨ k ɨ		341	249
893	Yaminawa	hand	mɨʔɨ	mɨʔɨ	m ɨ ʔ ɨ		341	249
894	Kashinawa_P	hand	mɨki	mɨki	m ɨ k i		341	249
895	Kashinawa_B	hand	mɨ̃kɨ̃	mɨ̃kɨ̃	m ɨ̃ k ɨ̃		341	249
1952	Matses	he	a	a	a		346	250
1953	Matis	he	a	a	a		346	250
1954	Marubo	he	a	a	a		346	250
1955	Katukina	he	ha	ha	h a		345	251
1956	Shipibo_Konibo	he	ha	ha	h a		345	251
1957	Kapanawa	he	ha	ha	h a		345	251
1958	Shanenawa	he	a	a	a		346	250
1959	Yawanawa	he	a	a	a		346	250
1960	Poyanawa	he	a	a	a		346	250
1961	Iskonawa	he	a	a	a		346	250
1962	Chakobo	he	ha	ha	h a		345	251
1963	Pakawara	he	ha	ha	h a		345	251
1964	Kakataibo	he	a	a	a		346	250
1965	Kaxarari	he	wautʃitɨ	ua	u a		344	250
1966	Mastanawa	he	ua	ua	u a		344	250
1967	Chaninawa	he	na	na	n a		345	252
1968	Sharanawa	he	ua	ua	u a		344	250
1969	Amawaka	he	ua	ua	u a		344	250
1970	Nawa	he	da	da	d a		346	254
1971	Marinawa	he	uwa	uwa	u w a		344	253
1972	Yaminawa	he	da	da	d a		346	254
1973	Kashinawa_P	he	ha	ha	h a		345	251
1974	Kashinawa_B	he	ha	ha	h a		345	251
448	Matses	head	mapi	mapi	m a p i		347	255
449	Matis	head	maʂo	maʂo	m a ʂ o		347	255
450	Marubo	head	mapu	mapu	m a p u		347	255
451	Katukina	head	mapu	mapu	m a p u		347	255
452	Kanamari	head	mapu	mapu	m a p u		347	255
453	Shipibo_Konibo	head	mapu	mapu	m a p u		347	255
454	Kapanawa	head	mapu	mapu	m a p u		347	255
455	Arara	head	βapu	βapu	β a p u		347	255
456	Arara	head	βuʃka	βuʃka	β u ʃ k a		348	256
